,股名,股號,成交價,漲跌,漲跌幅(%),最高,最低,價差,成交量(張),成交值(億)
0,瑞軒,2489.TW,20.95,1.90,9.97%,20.95,1.90,9.97%,20.95,18.30
1,淳紳,4529.TWO,9.93,0.90,9.97%,9.93,0.90,9.97%,9.93,9.84
2,宏遠,1460.TW,12.70,1.15,9.96%,12.70,1.15,9.96%,12.70,11.60
3,淘帝-KY,2929.TW,8.64,0.78,9.92%,8.64,0.78,9.92%,8.64,8.64
4,雃博,4106.TW,38.25,3.45,9.91%,38.25,3.45,9.91%,38.25,36.60
5,大將,1453.TW,11.65,1.05,9.91%,11.65,1.05,9.91%,11.65,10.30
6,磐儀,3594.TWO,31.70,2.85,9.88%,31.70,2.85,9.88%,31.70,27.50
7,中櫃,2613.TW,30.60,2.75,9.87%,30.60,2.75,9.87%,30.60,26.20
8,大東,1441.TW,15.70,1.40,9.79%,15.70,1.40,9.79%,15.70,12.95
9,鼎固-KY,2923.TW,35.95,3.20,9.77%,35.95,3.20,9.77%,36.00,32.35
10,華擎,3515.TW,185.50,16.50,9.76%,185.50,16.50,9.76%,185.50,169.00
11,聯發,1459.TW,14.10,1.25,9.73%,14.10,1.25,9.73%,14.10,12.85
12,宏洲,1413.TW,13.05,1.15,9.66%,13.05,1.15,9.66%,13.05,12.50
13,邑昇,5291.TWO,31.85,2.80,9.64%,31.85,2.80,9.64%,31.95,26.75
14,點序,6485.TWO,122.50,10.50,9.38%,122.50,10.50,9.38%,123.00,101.50
15,正達,3149.TW,41.30,3.50,9.26%,41.30,3.50,9.26%,41.55,35.80
16,臺慶科,3357.TWO,158.00,12.00,8.22%,158.00,12.00,8.22%,159.00,137.50
17,尚茂,8291.TWO,8.10,0.59,7.86%,8.10,0.59,7.86%,8.10,7.60
18,凌群,2453.TW,27.35,1.85,7.25%,27.35,1.85,7.25%,27.35,24.20
19,常珵,8097.TWO,23.70,1.55,7.00%,23.70,1.55,7.00%,24.00,21.30
20,敦泰,3545.TW,191.50,12.00,6.69%,191.50,12.00,6.69%,194.50,168.00
21,信驊,5274.TWO,"2,190.00",135.00,6.57%,"2,190.00",135.00,6.57%,"2,220.00","2,040.00"
22,普誠,6129.TWO,34.20,2.05,6.38%,34.20,2.05,6.38%,35.15,28.95
23,禾伸堂,3026.TW,136.50,8.00,6.23%,136.50,8.00,6.23%,138.00,129.00
24,倫飛,2364.TW,3.80,0.22,6.15%,3.80,0.22,6.15%,3.93,3.58
25,南帝,2108.TW,143.00,8.00,5.93%,143.00,8.00,5.93%,144.50,128.00
26,富致,6642.TWO,72.00,4.00,5.88%,72.00,4.00,5.88%,72.40,64.00
27,智原,3035.TW,73.80,4.00,5.73%,73.80,4.00,5.73%,74.20,63.00
28,鈞寶,6155.TW,29.25,1.35,4.84%,29.25,1.35,4.84%,29.95,27.50
29,華經,2468.TW,16.30,0.70,4.49%,16.30,0.70,4.49%,17.10,14.80
30,互億,6172.TW,35.55,1.50,4.41%,35.55,1.50,4.41%,36.85,34.60
31,地心引力,3629.TWO,41.80,1.75,4.37%,41.80,1.75,4.37%,41.80,39.10
32,富邦蘋果反一N,02001R.TW,3.00,0.12,4.17%,3.00,0.12,4.17%,3.00,2.94
33,天鈺,4961.TW,319.00,12.50,4.08%,319.00,12.50,4.08%,323.00,286.00
34,紘康,6457.TWO,171.00,6.50,3.95%,171.00,6.50,3.95%,171.50,155.00
35,奈米醫材,6612.TWO,68.30,2.40,3.64%,68.30,2.40,3.64%,68.30,63.10
36,佳凌,4976.TW,78.80,2.70,3.55%,78.80,2.70,3.55%,80.20,71.20
37,新至陞,3679.TW,150.50,5.00,3.44%,150.50,5.00,3.44%,150.50,138.00
38,晶悅,2718.TWO,30.70,1.00,3.37%,30.70,1.00,3.37%,30.85,29.85
39,唐鋒,4609.TWO,8.89,0.28,3.25%,8.89,0.28,3.25%,8.89,8.40
40,期元大道瓊白銀,00738U.TW,27.70,0.86,3.20%,27.70,0.86,3.20%,27.85,27.70
41,智伸科,4551.TW,178.50,5.50,3.18%,178.50,5.50,3.18%,179.50,168.50
42,南電,8046.TW,308.00,9.50,3.18%,308.00,9.50,3.18%,312.00,290.50
43,志旭,8067.TWO,11.75,0.35,3.07%,11.75,0.35,3.07%,12.10,11.10
44,必應,6625.TW,32.20,0.95,3.04%,32.20,0.95,3.04%,33.45,30.20
45,聯電,2303.TW,54.60,1.60,3.02%,54.60,1.60,3.02%,55.10,51.00
46,老爺知,5704.TWO,34.80,1.00,2.96%,34.80,1.00,2.96%,34.80,33.25
47,力山,1515.TW,94.20,2.70,2.95%,94.20,2.70,2.95%,95.00,88.00
48,泰金寶-DR,9105.TW,5.33,0.15,2.90%,5.33,0.15,2.90%,5.69,4.90
49,斐成,3313.TWO,12.50,0.35,2.88%,12.50,0.35,2.88%,12.70,11.70
50,華泰,2329.TW,17.95,0.50,2.87%,17.95,0.50,2.87%,17.95,15.85
51,理銘,6212.TWO,62.60,1.70,2.79%,62.60,1.70,2.79%,62.60,62.60
52,海韻電,6203.TWO,110.50,3.00,2.79%,110.50,3.00,2.79%,112.00,99.10
53,九齊,6494.TWO,110.50,3.00,2.79%,110.50,3.00,2.79%,114.00,97.50
54,啟發電,6512.TWO,19.35,0.50,2.65%,19.35,0.50,2.65%,20.70,18.80
55,迅杰,6243.TW,17.70,0.45,2.61%,17.70,0.45,2.61%,18.00,15.95
56,智聯服務,6751.TWO,74.90,1.90,2.60%,74.90,1.90,2.60%,74.90,72.90
57,佰研,3205.TWO,28.20,0.70,2.55%,28.20,0.70,2.55%,28.50,27.50
58,緯穎,6669.TW,929.00,23.00,2.54%,929.00,23.00,2.54%,978.00,901.00
59,系通,5348.TWO,7.89,0.19,2.47%,7.89,0.19,2.47%,7.94,7.41
60,聰泰,5474.TWO,190.00,4.50,2.43%,190.00,4.50,2.43%,190.00,177.50
61,儒鴻,1476.TW,550.00,13.00,2.42%,550.00,13.00,2.42%,569.00,540.00
62,新零售,3085.TWO,11.10,0.25,2.30%,11.10,0.25,2.30%,11.10,11.10
63,帆宣,6196.TW,115.00,2.50,2.22%,115.00,2.50,2.22%,116.50,108.00
64,零壹,3029.TW,48.60,1.05,2.21%,48.60,1.05,2.21%,49.40,46.20
65,萬潤,6187.TWO,139.00,3.00,2.21%,139.00,3.00,2.21%,141.00,122.50
66,公準,3178.TWO,71.70,1.50,2.14%,71.70,1.50,2.14%,73.50,65.20
67,期街口布蘭特正2,00715L.TW,7.22,0.15,2.12%,7.22,0.15,2.12%,7.31,7.20
68,萬在,4543.TWO,16.90,0.35,2.11%,16.90,0.35,2.11%,16.90,16.60
69,光聖,6442.TW,36.40,0.75,2.10%,36.40,0.75,2.10%,38.00,35.65
70,宏益,1452.TW,24.45,0.50,2.09%,24.45,0.50,2.09%,26.00,21.80
71,紅木-KY,8426.TWO,17.35,0.35,2.06%,17.35,0.35,2.06%,17.40,16.85
72,東和,1414.TW,20.40,0.40,2.00%,20.40,0.40,2.00%,22.00,18.00
73,台聯櫃,5601.TWO,29.00,0.55,1.93%,29.00,0.55,1.93%,29.00,28.05
74,安普新,6743.TW,132.50,2.50,1.92%,132.50,2.50,1.92%,137.00,120.00
75,富邦日本正2,00640L.TW,27.76,0.49,1.80%,27.76,0.49,1.80%,27.89,27.52
76,全新,2455.TW,116.00,2.00,1.75%,116.00,2.00,1.75%,118.00,111.00
77,天方能源,3073.TWO,26.15,0.45,1.75%,26.15,0.45,1.75%,26.45,26.15
78,晟楠,3631.TWO,52.90,0.90,1.73%,52.90,0.90,1.73%,56.80,52.30
79,富邦臺灣加權反1,00676R.TW,3.64,0.06,1.68%,3.64,0.06,1.68%,3.70,3.57
80,環球晶,6488.TWO,854.00,14.00,1.67%,854.00,14.00,1.67%,862.00,816.00
81,立德,3058.TW,18.40,0.30,1.66%,18.40,0.30,1.66%,18.80,16.60
82,微星,2377.TW,191.00,3.00,1.60%,191.00,3.00,1.60%,201.00,187.00
83,大飲,1213.TW,8.43,0.13,1.57%,8.43,0.13,1.57%,8.88,8.30
84,元大台灣50反1,00632R.TW,5.88,0.09,1.55%,5.88,0.09,1.55%,5.98,5.77
85,群益臺灣加權反1,00686R.TW,3.97,0.06,1.53%,3.97,0.06,1.53%,4.02,3.88
86,國泰臺灣加權反1,00664R.TW,6.68,0.10,1.52%,6.68,0.10,1.52%,6.78,6.54
87,期元大S&P石油,00642U.TW,10.92,0.16,1.49%,10.92,0.16,1.49%,10.99,10.91
88,富邦印度,00652.TW,24.62,0.34,1.40%,24.62,0.34,1.40%,24.67,24.31
89,富邦印度正2,00653L.TW,33.80,0.45,1.35%,33.80,0.45,1.35%,34.06,33.51
90,安泰銀,2849.TW,15.35,0.20,1.32%,15.35,0.20,1.32%,15.55,15.10
91,基勝-KY,8427.TW,53.70,0.70,1.32%,53.70,0.70,1.32%,54.20,51.80
92,達邦蛋白,6578.TWO,23.00,0.30,1.32%,23.00,0.30,1.32%,23.00,22.05
93,,00708L.TW,26.28,0.34,1.31%,26.28,0.34,1.31%,26.48,26.28
94,期街口道瓊銅,00763U.TW,29.34,0.38,1.31%,29.34,0.38,1.31%,29.40,29.28
95,嘉基,6715.TW,116.50,1.50,1.30%,116.50,1.50,1.30%,117.00,109.50
96,威宏-KY,8442.TW,38.90,0.50,1.30%,38.90,0.50,1.30%,39.35,36.20
97,精測,6510.TWO,716.00,9.00,1.27%,716.00,9.00,1.27%,720.00,690.00
98,旭然,4556.TWO,32.25,0.40,1.26%,32.25,0.40,1.26%,32.35,31.70
99,新天地,8940.TW,12.60,0.15,1.20%,12.60,0.15,1.20%,12.65,12.30
